time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450474743	5.48597	-12.4353	-2.74153	-0.849271	-1.03522	radar	1.02778	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753
1477010450529764	5.32542	-12.3632	-2.77648	-0.856163	-0.985016	lidar	2.93777	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175
1477010450584712	5.22456	-12.264	-2.75122	-0.894464	-0.965233	radar	1.25404	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989
1477010450639660	5.08074	-12.1767	-2.77549	-0.907327	-0.92544	lidar	1.70888	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199
1477010450689678	4.989	-12.0628	-2.7861	-0.951216	-0.922619	radar	0.56976	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929
1477010450739696	4.86851	-11.9786	-2.79863	-0.962347	-0.888746	lidar	1.20193	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928
1477010450794748	4.7779	-11.8494	-2.81077	-1.01015	-0.888993	radar	0.224696	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471
1477010450849800	4.68401	-11.7252	-2.81549	-1.04772	-0.877879	lidar	0.121956	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247
1477010450904754	4.6226	-11.6142	-2.74425	-1.08656	-0.863188	radar	5.7093	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971
1477010450959709	4.5483	-11.4955	-2.73621	-1.12338	-0.853791	lidar	0.303869	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969
1477010451009669	4.45497	-11.328	-2.88603	-1.16933	-0.863629	radar	25.6374	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032
1477010451059629	4.41407	-11.1847	-2.88701	-1.22319	-0.873809	lidar	0.115829	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321
1477010451114691	4.402	-11.0555	-2.78937	-1.28703	-0.890336	radar	11.0278	4.43713	-11.024	4.45	-11.05	0	1.81614
1477010451169754	4.38404	-10.9058	-2.78013	-1.34925	-0.90386	lidar	0.289419	4.45136	-10.93	4.45	-10.95	0	1.81612
1477010451224789	4.36201	-10.7574	-2.77203	-1.40381	-0.909221	radar	0.123399	4.44745	-10.786	4.45	-10.8	0	2.72555
1477010451279824	4.36868	-10.6065	-2.76119	-1.47149	-0.927271	lidar	0.533115	4.45788	-10.6457	4.45	-10.65	0	2.72554
1477010451334789	4.36735	-10.4602	-2.74911	-1.52865	-0.934859	radar	0.329232	4.46329	-10.5756	4.45	-10.5	0	2.729
1477010451389755	4.38296	-10.3103	-2.74343	-1.59154	-0.946537	lidar	0.229249	4.44057	-10.3382	4.45	-10.35	0	2.72898
1477010451444763	4.40744	-10.1633	-2.72933	-1.65738	-0.963049	radar	0.442435	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687
1477010451499772	4.4546	-10.014	-2.72574	-1.73049	-0.982873	lidar	0.564224	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685
1477010451554732	4.48602	-9.86944	-2.72539	-1.78509	-0.98231	radar	0.379432	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927
1477010451609692	4.54899	-9.72445	-2.72535	-1.85725	-0.999751	lidar	0.48356	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926
1477010451664722	4.56377	-9.57197	-2.74648	-1.87901	-0.955749	radar	1.85127	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578
1477010451719753	4.64318	-9.43102	-2.74908	-1.95126	-0.974127	lidar	0.646572	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576
1477010451774708	4.71831	-9.29664	-2.74651	-2.017	-0.98765	radar	0.494774	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952
1477010451829663	4.82281	-9.1566	-2.76282	-2.09379	-1.00708	lidar	0.920819	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951
1477010451879669	4.90507	-9.03749	-2.76675	-2.15378	-1.01868	radar	0.162717	4.95209	-8.96272	5	-9.05	0.999884	1.99977
1477010451929676	4.9953	-8.92724	-2.76805	-2.21195	-1.02517	lidar	0.142194	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974
1477010451984680	5.0667	-8.80314	-2.76403	-2.23885	-0.983795	radar	1.61869	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708
1477010452039685	5.1843	-8.67853	-2.78281	-2.30282	-0.9906	lidar	0.491474	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705
1477010452089696	5.28344	-8.57668	-2.78577	-2.35352	-0.99061	radar	0.106015	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957
1477010452139708	5.39572	-8.47243	-2.80092	-2.40701	-0.992362	lidar	0.258524	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954
1477010452194711	5.48414	-8.36273	-2.78629	-2.42557	-0.941357	radar	2.15592	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807
